,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
254,Orco +/+ vs. Orco +/+ fixed vm7v,0.6666666666666666,1.0,-0.5849625007211563,0.0
255,Orco +/+ shuffle vs. Orco +/+ fixed d,1.0,1.0,0.0,0.0
256,Orco +/+ shuffle vs. Orco +/+ fixed da1,0.5,1.0,-1.0,0.0
257,Orco +/+ shuffle vs. Orco +/+ fixed da2,0.0,0.24242424242424235,-inf,1.4170660197866447
258,Orco +/+ shuffle vs. Orco +/+ fixed da3,0.0,0.24242424242424235,-inf,1.4170660197866447
259,Orco +/+ shuffle vs. Orco +/+ fixed da4l,0.0,0.05628449442882433,-inf,2.87733619155871
260,Orco +/+ shuffle vs. Orco +/+ fixed da4m,1.0,1.0,0.0,0.0
261,Orco +/+ shuffle vs. Orco +/+ fixed dc1,2.0,0.4869705933364414,1.0,0.7195515410154198
262,Orco +/+ shuffle vs. Orco +/+ fixed dc2,0.16666666666666666,0.11174961771814729,-2.584962500721156,2.191494466361001
263,Orco +/+ shuffle vs. Orco +/+ fixed dc3,1.3333333333333333,1.0,0.41503749927884376,0.0
264,Orco +/+ shuffle vs. Orco +/+ fixed dc4,1.5,1.0,0.5849625007211562,0.0
265,Orco +/+ shuffle vs. Orco +/+ fixed dl1,1.5,1.0,0.5849625007211562,0.0
266,Orco +/+ shuffle vs. Orco +/+ fixed dl2d,1.0,1.0,0.0,0.0
267,Orco +/+ shuffle vs. Orco +/+ fixed dl2v,0.0,0.4949494949494949,-inf,0.7032995520239634
268,Orco +/+ shuffle vs. Orco +/+ fixed dl3,0.0,0.24242424242424235,-inf,1.4170660197866447
269,Orco +/+ shuffle vs. Orco +/+ fixed dl4,2.0,1.0,1.0,0.0
270,Orco +/+ shuffle vs. Orco +/+ fixed dl5,4.0,0.3621784858898261,2.0,1.0156181337237444
271,Orco +/+ shuffle vs. Orco +/+ fixed dm1,0.0,0.11746329272102463,-inf,2.141629396579969
272,Orco +/+ shuffle vs. Orco +/+ fixed dm2,1.0,1.0,0.0,0.0
273,Orco +/+ shuffle vs. Orco +/+ fixed dm3,0.0,0.4949494949494949,-inf,0.7032995520239634
274,Orco +/+ shuffle vs. Orco +/+ fixed dm4,0.0,0.11746329272102463,-inf,2.141629396579969
275,Orco +/+ shuffle vs. Orco +/+ fixed dm5,0.5,0.4869705933364414,-1.0,0.7195515410154198
276,Orco +/+ shuffle vs. Orco +/+ fixed dm6,0.0,0.11746329272102463,-inf,2.141629396579969
277,Orco +/+ shuffle vs. Orco +/+ fixed dp1l,0.3333333333333333,0.26866020752216113,-1.5849625007211563,1.3143078669134094
278,Orco +/+ shuffle vs. Orco +/+ fixed dp1m,0.25,0.02260438688192351,-2.0,3.789611281721146
279,Orco +/+ shuffle vs. Orco +/+ fixed v,0.0,0.24242424242424235,-inf,1.4170660197866447
280,Orco +/+ shuffle vs. Orco +/+ fixed va1d,5.0,0.20440158503099357,2.321928094887362,1.5876686661278911
281,Orco +/+ shuffle vs. Orco +/+ fixed va1v,2.0,1.0,1.0,0.0
282,Orco +/+ shuffle vs. Orco +/+ fixed va2,0.3333333333333333,0.26866020752216113,-1.5849625007211563,1.3143078669134094
283,Orco +/+ shuffle vs. Orco +/+ fixed va3,0.125,0.03085782297446309,-3.0,3.4783649797570995
284,Orco +/+ shuffle vs. Orco +/+ fixed va4,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
285,Orco +/+ shuffle vs. Orco +/+ fixed va5,0.2,0.20440158503099357,-2.321928094887362,1.5876686661278911
286,Orco +/+ shuffle vs. Orco +/+ fixed va6,0.42857142857142855,0.31784001971109244,-1.222392421336448,1.1462071054600251
287,Orco +/+ shuffle vs. Orco +/+ fixed va7l,0.0,0.4949494949494949,-inf,0.7032995520239634
288,Orco +/+ shuffle vs. Orco +/+ fixed va7m,0.0,0.24242424242424235,-inf,1.4170660197866447
289,Orco +/+ shuffle vs. Orco +/+ fixed vc1,2.0,0.6777322876074908,1.0,0.38900292505406225
290,Orco +/+ shuffle vs. Orco +/+ fixed vc2,2.0,1.0,1.0,0.0
291,Orco +/+ shuffle vs. Orco +/+ fixed vc3l,0.1111111111111111,0.01566048989604553,-3.1699250014423126,4.156614305636408
292,Orco +/+ shuffle vs. Orco +/+ fixed vc3m,1.0,1.0,0.0,0.0
293,Orco +/+ shuffle vs. Orco +/+ fixed vc4,2.0,1.0,1.0,0.0
294,Orco +/+ shuffle vs. Orco +/+ fixed vc5,0.0,0.05628449442882433,-inf,2.87733619155871
295,Orco +/+ shuffle vs. Orco +/+ fixed vl1,1.0,1.0,0.0,0.0
296,Orco +/+ shuffle vs. Orco +/+ fixed vl2a,0.6666666666666666,1.0,-0.5849625007211563,0.0
297,Orco +/+ shuffle vs. Orco +/+ fixed vl2p,0.75,1.0,-0.4150374992788438,0.0
298,Orco +/+ shuffle vs. Orco +/+ fixed vm1,0.5,1.0,-1.0,0.0
299,Orco +/+ shuffle vs. Orco +/+ fixed vm2,0.5,0.6777322876074908,-1.0,0.38900292505406225
300,Orco +/+ shuffle vs. Orco +/+ fixed vm3,1.0,1.0,0.0,0.0
301,Orco +/+ shuffle vs. Orco +/+ fixed vm4,1.0,1.0,0.0,0.0
302,Orco +/+ shuffle vs. Orco +/+ fixed vm5d,1.0,1.0,0.0,0.0
303,Orco +/+ shuffle vs. Orco +/+ fixed vm5v,0.6666666666666666,1.0,-0.5849625007211563,0.0
304,Orco +/+ shuffle vs. Orco +/+ fixed vm7d,4.0,0.3621784858898261,2.0,1.0156181337237444
305,Orco +/+ shuffle vs. Orco +/+ fixed vm7v,0.3333333333333333,0.6173070915338954,-1.5849625007211563,0.48238866166205036
